case_id,task_gain,mu_gain,gamma,substeps,activation_power,activation_exp_clip,status,mean_position_error_m,final_position_error_m,final_joint_drift_norm_rad,max_drift_norm,runtime_s,composite_score
tg220_mu20_g2560_ns80,220.0,20.0,2560.0,80,0.85,4.0,ok,1.2581786466389675e-05,1.4700072872514061e-06,1.7560843095486693e-06,0.5123773584550348,2.76893679999921,3.1197559085122446
tg220_mu16_g3072_ns80,220.0,16.0,3072.0,80,0.85,4.0,ok,6.864274319668139e-06,1.4488217469846552e-06,3.1548596827883024e-06,0.5123842278462045,3.1374283000004652,3.1335463648286086
tg220_mu20_g2560_ns100,220.0,20.0,2560.0,100,0.85,4.0,ok,1.2602421152031485e-05,1.471580933232364e-06,1.799548433409761e-06,0.5123773531673901,3.3214350000016566,3.148995283910093
tg180_mu16_g2048_ns60,180.0,16.0,2048.0,60,0.8,4.0,ok,1.1597561026453751e-05,2.139857954097477e-06,1.8805403656044972e-06,0.5123516668824042,2.206496499999048,3.174899898970183
tg260_mu16_g2560_ns80,260.0,16.0,2560.0,80,0.85,4.0,ok,8.139358076714977e-06,1.2444422370011995e-06,3.018411491764015e-06,0.512381947413844,2.7150667999994766,3.1974556038142827
tg220_mu20_g2560_ns60,220.0,20.0,2560.0,60,0.85,4.0,ok,1.2548873426349369e-05,1.4854795988589415e-06,1.897228655704562e-06,0.5123774193674598,2.143693499998335,3.2022760130256525
tg260_mu16_g3072_ns60,260.0,16.0,3072.0,60,0.85,4.0,ok,5.799202880675552e-06,1.2801978352361025e-06,3.5914332109048167e-06,0.5123848728839937,2.104637799999182,3.21147504263449
tg180_mu16_g3072_ns100,180.0,16.0,3072.0,100,0.85,4.0,ok,8.406070774211773e-06,1.7974089162147024e-06,2.828792346075617e-06,0.5123842750704025,3.3642803999973694,3.222699419243451
tg260_mu16_g2560_ns100,260.0,16.0,2560.0,100,0.85,4.0,ok,8.152225927848972e-06,1.2451926983366477e-06,3.0795540992604145e-06,0.512381951940427,3.422818600000028,3.2360070474744633
tg260_mu16_g2560_ns60,260.0,16.0,2560.0,60,0.8,4.0,ok,5.019753961255742e-06,2.0121106511989057e-06,3.6690742250404265e-06,0.5123511535568624,2.190732499999285,3.2792256971663543
tg180_mu12_g2048_ns60,180.0,12.0,2048.0,60,0.8,4.0,ok,8.005049271405527e-06,2.1454884698767338e-06,2.9301447707694766e-06,0.5123561623057727,2.112906899998052,3.28911162374483
tg180_mu20_g3072_ns60,180.0,20.0,3072.0,60,0.85,4.0,ok,1.0947941333301049e-05,1.8578073548356997e-06,2.390117667104126e-06,0.5123816858704161,2.741436899999826,3.335401752336392
tg260_mu16_g2560_ns60,260.0,16.0,2560.0,60,0.85,4.0,ok,8.11932538307273e-06,1.2492158303862067e-06,3.2676787379451625e-06,0.512382012429665,2.1557523000010406,3.344549762287704
